src_id,relation,dst_id
Th_POL-00146,event-target-person-subjectPerson,PER-00032
Th_POL-00146,event-target-person-relatedPerson,PER-00183
Th_POL-00149,event-target-person-subjectPerson,PER-00032
Th_POL-00151,event-target-person-subjectPerson,PER-00032
Th_POL-00152,event-target-person-subjectPerson,PER-00183
Th_POL-00153,event-target-person-subjectPerson,PER-00183
Th_POL-00154,event-target-person-subjectPerson,PER-00183
Th_POL-00156,event-target-person-relatedPerson,PER-00032
Th_POL-00157,event-target-person-subjectPerson,PER-00032
Th_POL-00158,event-target-person-subjectPerson,PER-00081
Th_POL-00159,event-target-person-subjectPerson,PER-00081
Th_POL-00162,event-target-person-relatedPerson,PER-00081
Th_POL-00163,event-target-person-subjectPerson,PER-00032
Th_POL-00163,event-target-person-relatedPerson,PER-00183
Th_POL-00163,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00164,event-target-person-subjectPerson,PER-00183
Th_POL-00169,event-target-person-subjectPerson,PER-00051
Th_POL-00170,event-target-person-subjectPerson,PER-00183
Th_POL-00171,event-target-person-subjectPerson,PER-00183
Th_POL-00172,event-target-person-subjectPerson,PER-00183
Th_POL-00173,event-target-person-subjectPerson,PER-00034
Th_POL-00174,event-target-person-subjectPerson,PER-00034
Th_POL-00177,event-target-person-leaderOrSpokesperson,PER-00034
Th_POL-00179,event-target-person-relatedPerson,PER-00183
Th_POL-00181,event-target-person-subjectPerson,PER-00183
Th_POL-00182,event-target-person-relatedPerson,PER-00183
Th_POL-00183,event-target-organization-subjectOrganization,ORG-00350
Th_POL-00188,event-target-person-subjectPerson,PER-00051
Th_POL-00188,event-target-person-relatedPerson,PER-00183
Th_POL-00188,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00189,event-target-person-subjectPerson,PER-00183
Th_POL-00190,event-target-person-subjectPerson,PER-00032
Th_POL-00190,event-target-person-relatedPerson,PER-00183
Th_POL-00190,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00191,event-target-organization-subjectOrganization,ORG-00337
Th_POL-00192,event-target-person-subjectPerson,PER-00032
Th_POL-00192,event-target-person-relatedPerson,PER-00183
Th_POL-00192,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00193,event-target-person-relatedPerson,PER-00183
Th_POL-00194,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00195,event-target-person-subjectPerson,PER-00183
Th_POL-00196,event-target-person-relatedPerson,PER-00183
Th_POL-00197,event-target-person-subjectPerson,PER-00032
Th_POL-00198,event-target-person-subjectPerson,PER-00183
Th_POL-00199,event-target-person-subjectPerson,PER-00183
Th_POL-00199,event-target-organization-relatedOrganization,ORG-00310
Th_POL-00200,event-target-person-subjectPerson,PER-00183
Th_POL-00201,event-target-person-subjectPerson,PER-00032
Th_MIL-00027,event-target-person-subjectPerson,PER-00183
Th_POL-00203,event-target-person-subjectPerson,PER-00051
Th_POL-00203,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00204,event-target-person-subjectPerson,PER-00183
Th_POL-00204,event-target-organization-relatedOrganization,ORG-00025
Th_POL-00205,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00205,event-target-organization-relatedOrganization,ORG-00072
Th_POL-00206,event-target-person-subjectPerson,PER-00183
Th_POL-00206,event-target-organization-relatedOrganization,ORG-00025
Th_POL-00207,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00207,event-target-organization-relatedOrganization,ORG-00072
Th_POL-00208,event-target-person-subjectPerson,PER-00183
Th_POL-00208,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00209,event-target-person-relatedPerson,PER-00166
Th_POL-00209,event-target-organization-subjectOrganization,ORG-00030
Th_POL-00209,event-target-organization-relatedOrganization,ORG-00072
Th_POL-00212,event-target-person-relatedPerson,PER-00249
Th_POL-00212,event-target-organization-relatedOrganization,ORG-00047
Th_POL-00213,event-target-person-subjectPerson,PER-00183
Th_POL-00213,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00214,event-target-person-subjectPerson,PER-00032
Th_POL-00214,event-target-person-relatedPerson,PER-00183
Th_POL-00216,event-target-person-subjectPerson,PER-00032
Th_POL-00216,event-target-person-relatedPerson,PER-00183
Th_POL-00216,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00217,event-target-person-relatedPerson,PER-00183
Th_POL-00218,event-target-person-relatedPerson,PER-00183
Th_POL-00219,event-target-person-relatedPerson,PER-00183
Th_POL-00220,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00221,event-target-person-subjectPerson,PER-00183
Th_POL-00222,event-target-person-subjectPerson,PER-00183
Th_POL-00222,event-target-person-relatedPerson,PER-00051
Th_ECON-00023,event-target-organization-subjectOrganization,ORG-00309
Th_POL-00229,event-target-organization-relatedOrganization,ORG-00049
Th_POL-00230,event-target-organization-relatedOrganization,ORG-00049
Th_POL-00231,event-target-person-subjectPerson,PER-00183
Th_POL-00231,event-target-organization-relatedOrganization,ORG-00025
Th_POL-00232,event-target-organization-relatedOrganization,ORG-00049
Th_POL-00233,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00233,event-target-organization-relatedOrganization,ORG-00073
Th_POL-00235,event-target-person-subjectPerson,PER-00183
Th_POL-00235,event-target-organization-relatedOrganization,ORG-00337
Th_POL-00240,event-target-person-subjectPerson,PER-00032
Th_POL-00240,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00241,event-target-person-subjectPerson,PER-00183
Th_ECON-00071,event-target-person-subjectPerson,PER-00183
Th_ECON-00073,event-target-person-subjectPerson,PER-00051
Th_ECON-00076,event-target-organization-relatedOrganization,ORG-00205
Th_ECON-00077,event-target-organization-relatedOrganization,ORG-00331
Th_ECON-00079,event-target-person-subjectPerson,PER-00039
Th_ECON-00079,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00243,event-target-organization-relatedOrganization,ORG-00279
Th_POL-00244,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00250,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00252,event-target-person-subjectPerson,PER-00183
Th_POL-00253,event-target-person-relatedPerson,PER-00183
Th_POL-00254,event-target-person-relatedPerson,PER-00183
Th_MIL-00029,event-target-person-subjectPerson,PER-00183
Th_MIL-00030,event-target-person-relatedPerson,PER-00183
Th_POL-00256,event-target-person-subjectPerson,PER-00183
Th_POL-00257,event-target-person-relatedPerson,PER-00183
Th_POL-00257,event-target-organization-subjectOrganization,ORG-00305
Th_POL-00259,event-target-person-subjectPerson,PER-00183
Th_POL-00260,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00261,event-target-person-subjectPerson,PER-00183
Th_POL-00261,event-target-organization-relatedOrganization,ORG-00305
Th_POL-00262,event-target-person-subjectPerson,PER-00183
Th_POL-00262,event-target-organization-relatedOrganization,ORG-00305
Th_POL-00263,event-target-organization-relatedOrganization,ORG-00305
Th_POL-00263,event-target-person-relatedPerson,PER-00183
Th_POL-00265,event-target-person-relatedPerson,PER-00183
Th_POL-00266,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00266,event-target-person-relatedPerson,PER-00183
Th_POL-00266,event-target-organization-relatedOrganization,ORG-00072
Th_POL-00267,event-target-person-subjectPerson,PER-00183
Th_POL-00267,event-target-organization-relatedOrganization,ORG-00072
Th_POL-00269,event-target-person-relatedPerson,PER-00183
Th_POL-00270,event-target-person-subjectPerson,PER-00183
Th_MIL-00034,event-target-organization-relatedOrganization,ORG-00350
Th_MIL-00035,event-target-organization-subjectOrganization,ORG-00350
Th_POL-00272,event-target-organization-subjectOrganization,ORG-00350
Th_POL-00272,event-target-organization-relatedOrganization,ORG-00072
Th_POL-00273,event-target-person-subjectPerson,PER-00230
Th_POL-00273,event-target-organization-subjectOrganization,ORG-00030
Th_POL-00274,event-target-person-subjectPerson,PER-00249
Th_POL-00274,event-target-organization-subjectOrganization,ORG-00030
Th_POL-00274,event-target-organization-relatedOrganization,ORG-00072
Th_POL-00275,event-target-organization-subjectOrganization,ORG-00050
Th_POL-00275,event-target-organization-relatedOrganization,ORG-00072
Th_POL-00276,event-target-organization-subjectOrganization,ORG-00030
Th_POL-00276,event-target-organization-relatedOrganization,ORG-00032
Th_MIL-00037,event-target-organization-relatedOrganization,ORG-00350
Th_MIL-00037,event-target-organization-relatedOrganization,ORG-00048
Th_MIL-00038,event-target-organization-subjectOrganization,ORG-00357
Th_MIL-00038,event-target-organization-relatedOrganization,ORG-00350
Th_MIL-00043,event-target-person-subjectPerson,PER-00184
Th_MIL-00044,event-target-organization-relatedOrganization,ORG-00059
Th_MIL-00045,event-target-organization-subjectOrganization,ORG-00337
Th_MIL-00048,event-target-organization-relatedOrganization,ORG-00350
Th_MIL-00049,event-target-person-subjectPerson,PER-00034
Th_MIL-00050,event-target-organization-subjectOrganization,ORG-00350
Th_ECON-00084,event-target-organization-relatedOrganization,ORG-00048
Th_ECON-00085,event-target-organization-subjectOrganization,ORG-00293
Th_ECON-00086,event-target-organization-subjectOrganization,ORG-00048
Th_MIL-00051,event-target-person-relatedPerson,PER-00183
Th_MIL-00051,event-target-organization-subjectOrganization,ORG-00350
Th_MIL-00053,event-target-organization-relatedOrganization,ORG-00350
Th_MIL-00056,event-target-person-subjectPerson,PER-00031
Th_POL-00277,event-target-person-subjectPerson,PER-00183
Th_POL-00277,event-target-organization-relatedOrganization,ORG-00137
Th_POL-00278,event-target-person-subjectPerson,PER-00183
Th_POL-00279,event-target-person-subjectPerson,PER-00183
Th_POL-00282,event-target-person-subjectPerson,PER-00183
Th_MIL-00061,event-target-organization-subjectOrganization,ORG-00086
Th_POL-00283,event-target-person-relatedPerson,PER-00183
Th_POL-00284,event-target-person-subjectPerson,PER-00183
Th_POL-00285,event-target-person-subjectPerson,PER-00183
Th_POL-00286,event-target-person-relatedPerson,PER-00183
Th_POL-00286,event-target-organization-subjectOrganization,ORG-00305
Th_POL-00288,event-target-person-subjectPerson,PER-00183
Th_POL-00289,event-target-person-subjectPerson,PER-00183
Th_POL-00290,event-target-person-subjectPerson,PER-00183
Th_POL-00291,event-target-organization-subjectOrganization,ORG-00305
Th_POL-00291,event-target-person-relatedPerson,PER-00183
Th_POL-00293,event-target-person-relatedPerson,PER-00183
Th_POL-00293,event-target-organization-relatedOrganization,ORG-00305
Th_POL-00295,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00296,event-target-organization-subjectOrganization,ORG-00025
Th_MIL-00067,event-target-organization-relatedOrganization,ORG-00363
Th_MIL-00068,event-target-organization-relatedOrganization,ORG-00072
Th_MIL-00068,event-target-person-relatedPerson,PER-00183
Th_MIL-00069,event-target-organization-relatedOrganization,ORG-00072
Th_POL-00297,event-target-organization-subjectOrganization,ORG-00057
Th_POL-00297,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00298,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00299,event-target-person-subjectPerson,PER-00230
Th_POL-00299,event-target-organization-subjectOrganization,ORG-00030
Th_POL-00300,event-target-person-subjectPerson,PER-00162
Th_POL-00300,event-target-organization-subjectOrganization,ORG-00030
Th_POL-00300,event-target-organization-relatedOrganization,ORG-00032
Th_POL-00301,event-target-organization-subjectOrganization,ORG-00305
Th_POL-00301,event-target-person-relatedPerson,PER-00183
Th_POL-00302,event-target-organization-subjectOrganization,ORG-00350
Th_POL-00303,event-target-organization-subjectOrganization,ORG-00030
Th_MIL-00071,event-target-organization-relatedOrganization,ORG-00357
Th_MIL-00074,event-target-organization-subjectOrganization,ORG-00337
Th_MIL-00074,event-target-organization-relatedOrganization,ORG-00357
Th_POL-00304,event-target-person-subjectPerson,PER-00184
Th_POL-00304,event-target-organization-subjectOrganization,ORG-00057
Th_POL-00305,event-target-person-subjectPerson,PER-00183
Th_POL-00306,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00307,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00308,event-target-organization-relatedOrganization,ORG-00048
Th_MIL-00075,event-target-organization-relatedOrganization,ORG-00357
Th_MIL-00077,event-target-organization-relatedOrganization,ORG-00357
Th_MIL-00078,event-target-organization-relatedOrganization,ORG-00293
Th_MIL-00079,event-target-organization-relatedOrganization,ORG-00357
Th_POL-00309,event-target-person-subjectPerson,PER-00183
Th_MIL-00081,event-target-organization-subjectOrganization,ORG-00137
Th_MIL-00082,event-target-person-subjectPerson,PER-00180
Th_MIL-00083,event-target-organization-subjectOrganization,ORG-00057
Th_MIL-00084,event-target-organization-relatedOrganization,ORG-00086
Th_POL-00320,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00321,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00323,event-target-person-relatedPerson,PER-00183
Th_POL-00324,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00325,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00326,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00327,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00328,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00329,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00336,event-target-person-subjectPerson,PER-00183
Th_POL-00337,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00337,event-target-person-relatedPerson,PER-00183
Th_POL-00338,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00339,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00340,event-target-person-subjectPerson,PER-00183
Th_POL-00341,event-target-person-subjectPerson,PER-00183
Th_POL-00342,event-target-person-subjectPerson,PER-00183
Th_POL-00344,event-target-person-subjectPerson,PER-00183
