248
151	6	14
151	22	16
151	153	8
151	155	8
82	83	7
101	7	14
101	102	11
101	103	11
101	104	11
154	1	14
153	6	14
153	22	16
153	23	16
164	165	11
129	2	14
129	130	11
66	9	13
175	13	13
55	12	13
169	4	13
27	28	9
27	29	11
138	141	1
141	4	14
127	128	0
127	129	0
127	130	0
127	131	0
120	121	2
6	23	22
40	41	9
142	25	15
156	2	13
156	26	15
156	157	9
156	158	9
156	159	9
103	15	13
103	104	11
47	50	5
63	17	14
160	10	14
78	79	9
98	99	4
48	49	2
163	3	13
106	107	11
56	14	14
56	24	16
56	57	9
56	58	4
126	23	16
137	138	11
137	139	0
137	141	1
71	20	14
71	73	9
94	16	13
94	95	11
94	97	8
95	9	13
95	96	11
95	97	8
34	35	6
105	108	11
64	20	13
64	66	11
149	8	14
149	150	11
172	0	13
172	173	4
172	174	4
172	175	4
77	19	13
77	78	11
77	79	7
152	23	15
85	7	13
85	18	14
85	86	11
85	87	11
62	17	13
62	63	11
122	15	13
122	123	9
122	124	9
122	125	0
157	2	13
157	26	16
157	158	2
157	159	9
100	7	14
100	104	9
161	3	14
132	133	0
132	134	0
132	135	0
132	136	0
110	15	13
110	26	15
110	111	0
110	112	9
110	113	1
75	3	14
75	76	2
37	38	11
119	2	14
119	120	2
119	121	2
18	9	19
121	6	13
114	2	14
114	26	16
114	115	11
114	116	11
86	7	13
86	18	14
86	87	11
68	3	12
84	4	13
84	18	14
84	24	16
84	88	0
73	7	13
73	18	14
22	6	21
168	4	14
170	4	14
162	3	13
162	18	14
148	149	11
148	150	11
12	16	19
61	17	14
61	62	1
61	63	6
67	68	9
33	34	2
31	32	11
158	2	13
158	159	9
80	19	14
80	81	9
80	83	9
87	7	13
87	18	14
28	23	16
28	30	10
174	175	4
146	3	13
146	147	0
146	148	0
146	149	0
146	150	0
144	25	15
104	7	13
104	18	14
59	60	11
109	11	14
76	3	14
150	2	13
150	26	16
53	14	14
53	54	3
39	40	9
39	41	9
16	12	18
93	94	11
93	95	11
93	97	8
90	18	13
107	17	13
173	174	4
173	175	4
17	7	18
43	45	9
65	5	13
54	16	13
54	55	1
69	70	11
7	8	19
118	2	14
118	26	16
118	119	2
118	120	2
118	121	2
112	10	13
112	23	15
131	4	14
143	6	13
167	4	14
167	21	16
117	26	15
117	118	1
117	119	1
117	120	1
117	121	1
36	37	11
36	38	11
147	4	14
147	148	11
147	149	11
147	150	11
166	167	0
166	170	0
52	12	13
52	53	1
52	54	1
155	6	14
155	22	16
81	83	10
46	47	7
46	50	1
88	4	14
88	18	13
145	25	15
123	26	16
123	124	11
0	15	18
0	19	18
89	18	13
89	90	1
89	91	8
89	92	3
111	2	13
111	26	16
42	43	11
42	44	11
51	14	14
51	52	0
140	3	13
72	73	11
171	172	4
171	173	4
171	174	4
171	175	4
128	26	16
128	129	11
128	130	11
102	7	13
102	103	11
102	104	11
20	9	19
115	2	14
115	116	11
74	75	11
13	5	17
21	4	20
